journey_id,channel,day,converted,conversion_day
47,referral,36,1,38
47,direct,36,1,38
47,email,37,1,38
48,email,46,0,
49,referral,46,1,51
49,email,49,1,51
49,email,49,1,51
50,display,54,0,
51,social,17,1,25
51,direct,20,1,25
51,organic_search,23,1,25
51,social,25,1,25
52,social,9,0,
53,direct,15,0,
53,referral,17,0,
53,social,18,0,
53,direct,18,0,
54,direct,57,0,
55,display,50,1,51
55,email,50,1,51
55,referral,51,1,51
56,direct,1,0,
56,referral,3,0,
57,organic_search,11,1,20
57,paid_search,14,1,20
57,direct,14,1,20
57,display,16,1,20
57,paid_search,18,1,20
58,referral,34,0,
58,organic_search,34,0,
59,paid_search,69,0,
60,organic_search,4,1,15
60,paid_search,7,1,15
60,referral,10,1,15
60,referral,13,1,15
61,organic_search,63,0,
62,display,9,1,13
62,paid_search,12,1,13
62,referral,12,1,13
62,organic_search,12,1,13
63,paid_search,74,1,79
63,paid_search,76,1,79
63,direct,77,1,79
64,direct,58,0,
65,email,21,1,28
65,paid_search,21,1,28
65,organic_search,24,1,28
65,email,26,1,28
66,email,12,1,22
66,social,15,1,22
66,paid_search,16,1,22
66,paid_search,19,1,22
66,organic_search,20,1,22
67,social,46,1,49
67,organic_search,47,1,49
67,email,49,1,49
68,organic_search,37,0,
68,email,38,0,
69,display,44,0,
69,referral,45,0,
69,email,45,0,
70,email,35,0,
70,direct,37,0,
71,referral,57,1,62
71,organic_search,59,1,62
71,email,62,1,62
72,paid_search,5,1,10
72,social,6,1,10
72,paid_search,8,1,10
72,referral,9,1,10
73,social,64,1,70
73,email,64,1,70
73,paid_search,66,1,70
73,direct,67,1,70
73,direct,68,1,70
74,social,12,0,
74,display,13,0,
74,organic_search,13,0,
75,referral,54,0,
76,direct,18,1,23
76,paid_search,20,1,23
76,social,21,1,23
77,email,60,0,
77,organic_search,60,0,
78,organic_search,48,0,
79,paid_search,55,0,
79,organic_search,58,0,
79,display,61,0,
80,paid_search,63,0,
80,social,65,0,
80,social,67,0,
81,direct,43,0,
81,email,44,0,
81,email,47,0,
82,email,45,0,
82,paid_search,45,0,
83,organic_search,30,1,35
83,organic_search,31,1,35
83,paid_search,33,1,35
84,paid_search,12,0,
84,organic_search,12,0,
85,email,56,1,67
85,referral,57,1,67
85,direct,59,1,67
85,direct,61,1,67
85,referral,62,1,67
85,paid_search,65,1,67
86,display,34,0,
86,direct,37,0,
86,organic_search,40,0,
87,paid_search,56,0,
87,referral,56,0,
88,direct,66,1,74
88,social,66,1,74
88,paid_search,69,1,74
88,email,71,1,74
88,direct,74,1,74
88,referral,74,1,74
89,display,28,0,
90,referral,3,1,6
90,referral,4,1,6
90,organic_search,4,1,6
90,email,4,1,6
91,paid_search,21,1,27
91,social,23,1,27
91,display,26,1,27
92,direct,67,0,
92,email,68,0,
93,organic_search,44,0,
93,paid_search,46,0,
94,direct,27,1,32
94,social,28,1,32
94,paid_search,28,1,32
94,direct,30,1,32
95,direct,45,0,
95,paid_search,46,0,
96,paid_search,26,0,
97,social,67,1,74
97,direct,70,1,74
97,email,73,1,74
98,social,71,0,
98,email,74,0,
99,organic_search,49,0,
99,organic_search,50,0,
99,paid_search,51,0,
100,referral,6,0,
100,referral,8,0,
101,display,34,1,43
101,direct,37,1,43
101,referral,38,1,43
101,email,38,1,43
101,paid_search,39,1,43
101,direct,41,1,43
102,direct,34,1,34
103,email,43,1,46
103,email,46,1,46
104,paid_search,49,0,
105,social,75,1,75
105,social,75,1,75
106,email,12,1,18
106,email,12,1,18
106,social,13,1,18
106,referral,14,1,18
106,organic_search,17,1,18
107,display,19,0,
107,social,19,0,
107,direct,20,0,
108,paid_search,5,1,5
108,paid_search,5,1,5
108,direct,5,1,5
108,organic_search,5,1,5
109,organic_search,8,0,
109,email,10,0,
109,direct,11,0,
110,paid_search,3,1,8
110,direct,6,1,8
110,organic_search,6,1,8
111,social,72,0,
111,referral,72,0,
111,referral,73,0,
112,organic_search,40,0,
112,paid_search,43,0,
113,paid_search,4,0,
114,organic_search,55,1,63
114,email,58,1,63
114,paid_search,61,1,63
114,display,61,1,63
115,paid_search,41,1,47
115,direct,41,1,47
115,email,42,1,47
115,direct,42,1,47
115,direct,43,1,47
115,email,45,1,47
116,organic_search,4,1,7
116,referral,6,1,7
116,paid_search,6,1,7
117,email,64,0,
117,email,66,0,
117,display,67,0,
117,referral,70,0,
117,referral,72,0,
118,paid_search,72,0,
118,referral,73,0,
119,direct,41,0,
120,direct,31,0,
121,direct,13,1,20
121,email,13,1,20
121,referral,15,1,20
121,social,18,1,20
121,email,18,1,20
122,paid_search,74,1,79
122,direct,76,1,79
122,referral,79,1,79
122,paid_search,79,1,79
123,social,18,0,
124,organic_search,48,1,58
124,email,50,1,58
124,social,52,1,58
124,email,54,1,58
124,email,57,1,58
125,paid_search,29,0,
125,display,29,0,
126,paid_search,55,1,64
126,referral,57,1,64
126,organic_search,60,1,64
126,organic_search,63,1,64
126,email,63,1,64
126,email,64,1,64
127,display,9,1,12
127,email,12,1,12
127,organic_search,12,1,12
128,direct,58,1,64
128,direct,61,1,64
128,direct,63,1,64
128,paid_search,63,1,64
128,organic_search,63,1,64
129,email,58,1,61
129,paid_search,58,1,61
129,paid_search,59,1,61
129,direct,60,1,61
130,social,65,0,
130,referral,65,0,
131,paid_search,58,1,65
131,paid_search,61,1,65
131,organic_search,61,1,65
131,organic_search,64,1,65
131,social,64,1,65
132,direct,13,0,
132,social,15,0,
132,organic_search,17,0,
132,organic_search,18,0,
133,referral,13,1,19
133,email,15,1,19
133,email,16,1,19
133,social,18,1,19
133,paid_search,19,1,19
134,paid_search,66,1,70
134,email,69,1,70
134,organic_search,69,1,70
135,social,12,1,20
135,email,14,1,20
135,social,16,1,20
135,organic_search,18,1,20
135,direct,18,1,20
136,direct,63,0,
136,social,65,0,
136,social,65,0,
137,referral,7,0,
137,organic_search,7,0,
137,social,10,0,
138,organic_search,45,0,
139,paid_search,60,1,63
139,display,61,1,63
139,direct,62,1,63
140,display,57,1,62
140,email,59,1,62
140,direct,61,1,62
141,paid_search,77,0,
141,email,78,0,
141,referral,81,0,
142,organic_search,59,1,64
142,direct,61,1,64
142,referral,62,1,64
143,email,44,1,49
143,social,47,1,49
143,display,48,1,49
143,social,49,1,49
144,display,9,0,
145,social,52,0,
146,organic_search,18,1,28
146,paid_search,20,1,28
146,organic_search,23,1,28
146,organic_search,23,1,28
146,display,26,1,28
147,direct,43,1,48
147,email,45,1,48
147,email,46,1,48
148,display,76,0,
148,social,76,0,
149,direct,28,1,31
149,direct,29,1,31
149,email,30,1,31
150,organic_search,49,0,
150,direct,52,0,
151,referral,3,1,10
151,referral,3,1,10
151,email,4,1,10
151,organic_search,6,1,10
151,organic_search,8,1,10
151,organic_search,9,1,10
152,direct,52,0,
152,paid_search,53,0,
153,referral,0,1,3
153,referral,0,1,3
153,paid_search,0,1,3
153,direct,1,1,3
154,email,14,1,19
154,direct,17,1,19
155,organic_search,11,1,20
155,display,14,1,20
155,paid_search,16,1,20
155,organic_search,19,1,20
156,display,44,1,47
156,direct,46,1,47
156,direct,46,1,47
157,organic_search,11,1,16
157,email,11,1,16
157,paid_search,12,1,16
157,display,15,1,16
158,social,71,1,75
158,social,71,1,75
158,referral,73,1,75
158,email,73,1,75
159,paid_search,69,1,72
159,email,70,1,72
159,paid_search,70,1,72
159,paid_search,70,1,72
159,referral,71,1,72
160,paid_search,49,1,54
160,direct,49,1,54
160,referral,51,1,54
160,referral,53,1,54
161,organic_search,30,1,37
161,email,33,1,37
161,referral,35,1,37
161,social,36,1,37
162,paid_search,18,0,
162,organic_search,18,0,
162,organic_search,18,0,
162,social,21,0,
163,email,77,0,
164,direct,75,1,81
164,organic_search,77,1,81
164,display,77,1,81
164,organic_search,78,1,81
164,email,80,1,81
165,paid_search,64,1,67
165,email,64,1,67
165,email,66,1,67
165,social,67,1,67
166,social,65,0,
166,email,66,0,
166,organic_search,67,0,
167,paid_search,42,0,
168,paid_search,19,1,27
168,email,22,1,27
168,email,25,1,27
169,organic_search,38,1,38
169,display,38,1,38
170,organic_search,8,0,
170,paid_search,10,0,
171,paid_search,67,0,
171,organic_search,68,0,
172,direct,63,1,66
172,paid_search,66,1,66
173,direct,30,0,
173,referral,30,0,
173,email,33,0,
174,social,16,0,
175,paid_search,72,0,
175,direct,73,0,
175,email,74,0,
176,email,62,1,64
176,paid_search,64,1,64
177,email,63,0,
178,display,34,0,
178,direct,37,0,
179,email,73,0,
179,email,75,0,
180,social,29,0,
180,social,31,0,
180,paid_search,31,0,
181,email,65,0,
181,referral,67,0,
182,email,19,1,28
182,paid_search,21,1,28
182,direct,24,1,28
182,direct,25,1,28
182,email,28,1,28
183,paid_search,71,1,75
183,referral,71,1,75
183,email,74,1,75
184,social,3,1,7
184,social,6,1,7
184,email,6,1,7
184,paid_search,7,1,7
185,direct,37,0,
185,direct,40,0,
185,organic_search,43,0,
186,paid_search,46,0,
186,email,49,0,
187,social,57,1,65
187,social,57,1,65
187,paid_search,58,1,65
187,referral,58,1,65
187,organic_search,61,1,65
187,organic_search,63,1,65
188,display,39,0,
188,paid_search,41,0,
188,social,43,0,
189,email,45,0,
190,social,43,0,
191,referral,16,1,22
191,direct,16,1,22
191,display,16,1,22
191,direct,19,1,22
191,social,21,1,22
192,direct,3,0,
192,paid_search,6,0,
192,display,8,0,
193,direct,25,0,
194,referral,66,0,
195,email,13,1,19
195,email,14,1,19
195,paid_search,14,1,19
195,organic_search,17,1,19
195,organic_search,19,1,19
196,referral,54,0,
197,direct,50,1,66
197,paid_search,53,1,66
197,email,56,1,66
197,email,59,1,66
197,direct,62,1,66
197,display,65,1,66
198,social,22,0,
198,paid_search,24,0,
199,direct,8,1,12
199,paid_search,10,1,12
200,organic_search,16,1,22
200,direct,18,1,22
200,direct,18,1,22
200,paid_search,18,1,22
200,paid_search,21,1,22
200,organic_search,21,1,22
201,email,72,0,
201,referral,72,0,
201,email,74,0,
202,paid_search,66,0,
202,social,66,0,
203,email,27,0,
203,organic_search,29,0,
204,social,27,1,31
204,referral,27,1,31
204,paid_search,29,1,31
205,email,45,0,
206,email,24,1,28
206,email,27,1,28
207,display,18,0,
207,paid_search,20,0,
207,email,23,0,
208,referral,54,0,
208,display,56,0,
208,social,59,0,
209,social,60,1,68
209,display,63,1,68
209,direct,65,1,68
209,social,67,1,68
209,referral,68,1,68
210,organic_search,57,0,
210,paid_search,59,0,
210,organic_search,60,0,
211,organic_search,49,1,52
211,direct,49,1,52
211,paid_search,50,1,52
211,organic_search,50,1,52
211,email,50,1,52
212,social,63,1,67
212,email,66,1,67
212,organic_search,66,1,67
212,organic_search,67,1,67
213,email,11,1,18
213,referral,13,1,18
213,referral,15,1,18
213,email,16,1,18
214,email,13,0,
214,social,15,0,
215,organic_search,19,0,
215,social,19,0,
216,referral,68,0,
216,direct,69,0,
217,direct,38,1,47
217,direct,40,1,47
217,direct,42,1,47
217,email,45,1,47
217,paid_search,47,1,47
218,email,38,1,43
218,email,40,1,43
218,paid_search,43,1,43
219,direct,62,1,67
219,direct,65,1,67
219,organic_search,65,1,67
219,organic_search,66,1,67
220,email,73,1,76
220,paid_search,74,1,76
221,social,4,1,14
221,display,7,1,14
221,organic_search,9,1,14
221,referral,9,1,14
221,organic_search,12,1,14
222,organic_search,78,1,84
222,organic_search,79,1,84
222,organic_search,82,1,84
223,referral,34,0,
223,social,37,0,
224,email,51,1,54
224,direct,54,1,54
225,paid_search,58,1,61
225,social,59,1,61
225,social,61,1,61
226,email,16,0,
226,display,19,0,
227,social,13,1,16
227,direct,13,1,16
227,referral,13,1,16
227,referral,16,1,16
227,email,16,1,16
227,organic_search,16,1,16
228,direct,17,0,
228,referral,19,0,
229,paid_search,20,0,
229,social,23,0,
230,paid_search,49,1,57
230,paid_search,52,1,57
230,referral,54,1,57
230,organic_search,55,1,57
231,paid_search,5,1,10
231,direct,7,1,10
231,email,8,1,10
231,referral,10,1,10
232,email,10,1,16
232,direct,10,1,16
232,referral,12,1,16
232,referral,12,1,16
232,organic_search,14,1,16
233,email,20,1,27
233,social,22,1,27
233,referral,25,1,27
234,email,24,0,
234,organic_search,25,0,
234,direct,28,0,
234,referral,31,0,
235,display,71,1,73
235,direct,72,1,73
236,organic_search,33,1,41
236,social,36,1,41
236,direct,37,1,41
236,organic_search,40,1,41
236,referral,40,1,41
237,paid_search,74,1,80
237,organic_search,77,1,80
237,email,79,1,80
238,direct,7,0,
238,social,7,0,
239,organic_search,29,0,
240,organic_search,58,0,
240,email,59,0,
240,organic_search,62,0,
240,organic_search,63,0,
241,display,3,1,6
241,email,5,1,6
241,email,5,1,6
241,display,6,1,6
242,social,70,1,77
242,paid_search,72,1,77
242,direct,72,1,77
242,direct,75,1,77
243,paid_search,12,0,
243,paid_search,12,0,
244,referral,2,0,
245,direct,4,1,10
245,display,5,1,10
245,referral,7,1,10
245,email,9,1,10
246,organic_search,34,0,
247,social,63,1,67
247,display,65,1,67
248,organic_search,16,1,21
248,display,18,1,21
248,organic_search,21,1,21
248,email,21,1,21
249,email,35,0,
249,paid_search,36,0,
249,display,38,0,
250,social,58,0,
251,referral,26,0,
251,organic_search,29,0,
252,email,65,1,72
252,email,66,1,72
252,direct,69,1,72
252,email,70,1,72
253,email,58,0,
254,email,39,1,43
254,email,42,1,43
254,organic_search,43,1,43
255,referral,50,0,
256,paid_search,18,0,
257,social,32,0,
258,organic_search,25,0,
258,direct,28,0,
259,direct,41,0,
259,organic_search,41,0,
259,organic_search,43,0,
259,email,44,0,
260,display,10,1,21
260,direct,11,1,21
260,organic_search,14,1,21
260,email,16,1,21
260,organic_search,19,1,21
260,social,19,1,21
261,organic_search,47,1,57
261,social,49,1,57
261,email,51,1,57
261,email,53,1,57
261,social,55,1,57
262,paid_search,26,0,
262,direct,26,0,
263,email,10,1,13
263,paid_search,13,1,13
264,paid_search,68,0,
264,paid_search,71,0,
264,paid_search,73,0,
265,email,41,0,
266,direct,37,1,38
267,email,15,1,21
267,organic_search,15,1,21
267,display,15,1,21
267,email,17,1,21
267,direct,20,1,21
268,organic_search,59,1,60
268,paid_search,59,1,60
268,referral,60,1,60
269,email,35,1,38
269,referral,38,1,38
269,referral,38,1,38
270,paid_search,52,1,55
270,organic_search,54,1,55
270,social,55,1,55
271,organic_search,64,1,76
271,paid_search,67,1,76
271,direct,69,1,76
271,paid_search,72,1,76
271,referral,74,1,76
272,paid_search,16,1,24
272,direct,16,1,24
272,email,18,1,24
272,social,20,1,24
272,paid_search,22,1,24
272,referral,24,1,24
273,email,40,1,49
273,organic_search,43,1,49
273,referral,46,1,49
273,social,49,1,49
274,referral,48,0,
274,organic_search,51,0,
274,social,54,0,
275,direct,46,0,
275,organic_search,46,0,
276,paid_search,54,0,
277,email,54,0,
278,direct,59,0,
278,direct,61,0,
279,paid_search,21,1,27
279,direct,23,1,27
279,paid_search,24,1,27
279,paid_search,24,1,27
279,paid_search,26,1,27
279,organic_search,27,1,27
280,organic_search,43,0,
280,paid_search,45,0,
281,paid_search,47,0,
281,organic_search,47,0,
281,email,48,0,
282,email,29,0,
282,paid_search,31,0,
283,paid_search,65,1,70
283,referral,68,1,70
284,organic_search,21,0,
284,referral,23,0,
284,direct,25,0,
285,email,28,0,
286,paid_search,9,0,
286,email,9,0,
287,direct,65,1,70
287,paid_search,66,1,70
287,paid_search,68,1,70
288,social,3,1,9
288,direct,5,1,9
288,direct,7,1,9
289,email,38,1,44
289,direct,39,1,44
289,social,40,1,44
289,direct,42,1,44
289,organic_search,44,1,44
290,display,42,0,
290,organic_search,44,0,
291,social,52,0,
291,email,54,0,
292,organic_search,6,1,11
292,direct,7,1,11
292,paid_search,8,1,11
292,email,10,1,11
292,organic_search,10,1,11
293,direct,9,1,16
293,referral,11,1,16
293,referral,13,1,16
293,social,16,1,16
294,organic_search,40,1,44
294,paid_search,42,1,44
294,direct,44,1,44
295,organic_search,57,1,58
296,social,22,0,
296,social,23,0,
297,organic_search,45,0,
298,email,29,1,40
298,email,32,1,40
298,referral,33,1,40
298,referral,35,1,40
298,direct,38,1,40
298,social,38,1,40
299,paid_search,8,1,11
299,direct,9,1,11
300,referral,10,1,17
300,referral,13,1,17
300,direct,15,1,17
301,paid_search,22,0,
301,organic_search,23,0,
302,organic_search,6,0,
302,direct,9,0,
303,social,33,1,38
303,email,34,1,38
303,paid_search,37,1,38
304,organic_search,39,0,
304,direct,39,0,
305,paid_search,62,0,
305,paid_search,64,0,
305,referral,65,0,
305,organic_search,67,0,
306,referral,28,0,
307,paid_search,16,1,19
307,email,17,1,19
307,display,18,1,19
308,organic_search,72,1,79
308,email,73,1,79
308,referral,74,1,79
308,paid_search,75,1,79
308,paid_search,77,1,79
309,direct,20,1,27
309,paid_search,23,1,27
309,direct,23,1,27
309,direct,24,1,27
309,social,25,1,27
310,direct,34,1,36
310,display,35,1,36
311,social,4,0,
311,paid_search,6,0,
311,direct,9,0,
312,social,59,0,
313,paid_search,28,0,
313,organic_search,29,0,
314,display,53,0,
314,social,53,0,
315,social,27,1,34
315,direct,29,1,34
315,email,29,1,34
315,referral,32,1,34
316,direct,35,1,36
316,paid_search,36,1,36
316,email,36,1,36
316,referral,36,1,36
317,display,57,1,66
317,referral,59,1,66
317,direct,61,1,66
317,paid_search,64,1,66
317,email,66,1,66
318,organic_search,38,1,43
318,social,40,1,43
318,organic_search,42,1,43
319,organic_search,68,1,75
319,direct,69,1,75
319,referral,71,1,75
319,organic_search,73,1,75
320,paid_search,6,1,12
320,referral,6,1,12
320,direct,7,1,12
320,email,10,1,12
321,email,35,0,
321,email,36,0,
322,social,62,1,72
322,organic_search,65,1,72
322,organic_search,66,1,72
322,organic_search,66,1,72
322,email,69,1,72
322,direct,72,1,72
323,organic_search,56,1,57
323,direct,57,1,57
324,email,32,1,36
324,social,33,1,36
324,paid_search,36,1,36
325,social,54,1,60
325,paid_search,56,1,60
325,paid_search,58,1,60
325,referral,58,1,60
325,organic_search,58,1,60
326,paid_search,56,1,64
326,paid_search,59,1,64
326,direct,59,1,64
326,organic_search,60,1,64
326,social,62,1,64
327,direct,38,0,
327,referral,38,0,
327,paid_search,39,0,
328,display,39,0,
328,social,40,0,
328,social,41,0,
329,organic_search,42,1,45
329,social,43,1,45
330,paid_search,67,1,70
330,direct,69,1,70
330,organic_search,70,1,70
331,direct,25,1,26
332,email,57,0,
333,email,57,0,
334,paid_search,76,0,
334,email,78,0,
335,referral,38,1,46
335,organic_search,40,1,46
335,organic_search,42,1,46
335,social,44,1,46
336,email,38,1,39
336,email,39,1,39
336,organic_search,39,1,39
336,email,39,1,39
336,direct,39,1,39
336,paid_search,39,1,39
337,referral,14,0,
338,referral,66,0,
338,referral,69,0,
338,email,71,0,
338,social,74,0,
339,display,53,1,55
339,referral,54,1,55
339,direct,55,1,55
340,email,26,1,29
340,paid_search,27,1,29
340,email,28,1,29
341,display,50,1,57
341,email,53,1,57
341,email,53,1,57
341,paid_search,55,1,57
342,display,41,1,47
342,email,41,1,47
342,organic_search,41,1,47
342,referral,43,1,47
342,email,46,1,47
343,referral,66,1,68
343,email,67,1,68
344,social,28,0,
345,paid_search,74,0,
345,social,74,0,
345,social,77,0,
346,email,43,1,49
346,direct,43,1,49
346,paid_search,44,1,49
346,direct,47,1,49
347,referral,48,0,
347,email,48,0,
347,display,48,0,
348,paid_search,55,1,64
348,direct,57,1,64
348,email,60,1,64
348,display,63,1,64
349,organic_search,19,0,
350,email,1,0,
351,social,32,0,
352,direct,33,1,43
352,direct,36,1,43
352,display,39,1,43
352,email,41,1,43
352,display,43,1,43
353,referral,72,1,75
353,paid_search,73,1,75
353,email,74,1,75
354,email,63,1,65
354,social,63,1,65
355,email,72,0,
355,email,72,0,
356,display,51,0,
356,organic_search,51,0,
357,display,64,0,
358,social,53,0,
358,paid_search,55,0,
358,display,55,0,
359,referral,52,0,
360,display,14,1,17
360,direct,17,1,17
360,direct,17,1,17
361,organic_search,64,0,
362,paid_search,0,0,
362,social,1,0,
363,paid_search,61,1,74
363,organic_search,63,1,74
363,paid_search,66,1,74
363,social,69,1,74
363,direct,72,1,74
364,referral,51,0,
364,paid_search,51,0,
364,email,54,0,
365,direct,20,0,
365,email,23,0,
366,organic_search,11,0,
366,direct,13,0,
367,direct,63,1,64
367,direct,63,1,64
367,email,63,1,64
367,email,64,1,64
367,social,64,1,64
368,direct,45,0,
369,email,15,0,
369,organic_search,15,0,
369,organic_search,18,0,
370,direct,77,0,
370,organic_search,80,0,
370,referral,83,0,
370,referral,83,0,
371,social,50,1,63
371,referral,53,1,63
371,email,56,1,63
371,social,59,1,63
371,email,61,1,63
371,organic_search,61,1,63
372,organic_search,30,0,
372,referral,31,0,
373,email,58,0,
374,email,22,0,
374,email,22,0,
375,referral,38,1,42
375,referral,39,1,42
375,direct,40,1,42
375,email,40,1,42
376,display,56,0,
376,email,57,0,
377,direct,7,0,
377,direct,7,0,
378,social,15,0,
379,social,68,1,75
379,referral,71,1,75
379,email,73,1,75
380,direct,44,0,
381,direct,62,0,
381,organic_search,63,0,
382,email,40,0,
383,social,39,0,
383,referral,39,0,
384,direct,13,1,15
385,social,24,0,
385,email,25,0,
385,organic_search,25,0,
386,paid_search,41,0,
386,organic_search,44,0,
386,referral,47,0,
387,organic_search,30,1,31
387,paid_search,31,1,31
388,paid_search,57,1,65
388,referral,60,1,65
388,direct,62,1,65
388,display,64,1,65
389,paid_search,51,1,60
389,paid_search,52,1,60
389,direct,54,1,60
389,display,55,1,60
389,direct,58,1,60
390,paid_search,19,1,22
390,referral,21,1,22
390,display,22,1,22
390,email,22,1,22
391,display,59,0,
392,display,59,0,
392,email,61,0,
393,paid_search,72,1,77
393,direct,74,1,77
393,direct,74,1,77
393,display,76,1,77
394,direct,51,1,55
394,paid_search,52,1,55
394,email,54,1,55
394,organic_search,54,1,55
395,paid_search,55,0,
395,direct,55,0,
396,email,33,0,
397,direct,20,0,
397,organic_search,22,0,
397,paid_search,24,0,
398,email,72,1,87
398,organic_search,75,1,87
398,referral,78,1,87
398,organic_search,81,1,87
398,email,82,1,87
398,referral,85,1,87
399,social,38,1,43
399,paid_search,38,1,43
399,social,41,1,43
400,email,21,0,
400,paid_search,21,0,
401,social,48,0,
401,referral,49,0,
402,display,27,1,34
402,referral,28,1,34
402,email,31,1,34
402,email,32,1,34
402,organic_search,34,1,34
403,email,65,0,
404,email,59,1,60
405,organic_search,18,0,
406,paid_search,20,1,21
406,paid_search,20,1,21
406,email,21,1,21
407,direct,31,1,33
407,paid_search,33,1,33
408,email,45,1,55
408,direct,47,1,55
408,direct,47,1,55
408,organic_search,50,1,55
408,social,52,1,55
408,social,53,1,55
409,display,37,1,45
409,direct,39,1,45
409,direct,39,1,45
409,email,41,1,45
409,paid_search,43,1,45
409,email,43,1,45
410,direct,62,1,62
411,paid_search,56,1,61
411,display,56,1,61
411,paid_search,56,1,61
411,display,58,1,61
411,email,59,1,61
411,display,60,1,61
412,direct,18,1,22
412,email,20,1,22
412,social,22,1,22
413,organic_search,14,0,
414,social,51,0,
415,direct,4,1,11
415,paid_search,4,1,11
415,paid_search,7,1,11
415,direct,10,1,11
416,organic_search,39,0,
417,paid_search,52,1,56
417,email,52,1,56
417,email,53,1,56
417,social,56,1,56
418,display,20,0,
418,paid_search,21,0,
419,display,72,1,78
419,referral,74,1,78
419,direct,74,1,78
419,organic_search,76,1,78
420,organic_search,47,0,
421,email,6,0,
422,email,63,0,
422,email,65,0,
423,paid_search,67,0,
423,referral,69,0,
424,paid_search,46,1,50
424,email,49,1,50
424,paid_search,50,1,50
424,referral,50,1,50
425,display,69,1,71
425,referral,70,1,71
425,direct,70,1,71
425,social,70,1,71
426,email,29,1,34
426,organic_search,31,1,34
426,paid_search,32,1,34
426,direct,33,1,34
427,paid_search,29,1,32
427,organic_search,30,1,32
427,direct,30,1,32
427,email,32,1,32
428,social,14,0,
428,referral,17,0,
428,email,18,0,
429,display,58,0,
429,organic_search,61,0,
429,direct,62,0,
430,email,10,1,16
430,email,11,1,16
430,paid_search,14,1,16
430,organic_search,14,1,16
431,direct,34,0,
431,email,35,0,
432,email,12,0,
432,paid_search,14,0,
433,direct,73,1,78
433,social,76,1,78
433,email,76,1,78
433,organic_search,78,1,78
434,referral,11,0,
434,organic_search,14,0,
434,organic_search,15,0,
435,direct,34,1,40
435,direct,37,1,40
435,direct,37,1,40
435,paid_search,38,1,40
435,paid_search,39,1,40
436,organic_search,74,0,
437,display,24,1,29
437,social,26,1,29
437,organic_search,28,1,29
437,direct,29,1,29
438,email,47,1,50
438,display,47,1,50
438,display,47,1,50
